trade_id,account_id,client_document,date,ticker,side,quantity,price,broker_fee,tax,currency
243455812236231665,000000000987654321,,2026-01-03,VALE3,BUY ,100,9.85,"0,00","1,10",BRL
301632870831727889,000000000987654321, 54665905151825 ,2026/01/06,NTNB 2035,BUY ,10,10.35,10.0,"3,25",BRL
285067165726284987,123456789012345678,596.401.658-83,05/01/2026,USD/BRL, SELL,25.0,5123.45,10.0,1.10,USD
664823662994680443,123456789012345678, 16052975161377 ,05-01-2026,PETR4,Venda,10.0,"28,10",10.0,3.25,BRL
425288095701543039,123456789012345678,385.977.034-90,2026/01/04,ITUB4,Compra,250,351.2,0.00,3.25,BRL
777360260647468723,123456789012345678,CNPJ 74.367.136/9594-86,05/01/2026,ITUB4,Compra,10,122.56,2.75,1.10,BRL
410341316475255341,000045600000000001,cnpj: 10276773592539,05-01-2026,NTNB 2035,S,100.0,"122,56",1.5,"3,25",BRL
679868727743487347,000000000987654321,,05-01-2026,VALE3,BUY,100.0,"351,20","10,00",1.1,BRL
261559407816184959,000000000987654321,98182992299581,03/01/2026,ITUB4, SELL,10,"28,10",1.50,1.10,BRL
204332181960013389,000045600000000001,18.844.225/8313-50,2026-01-02,VALE3,BUY,250,10.35,10.0,0.00,BRL
799016272046537556,000012345678901234,32.898.614/3410-31,04-01-2026,BOVA11,BUY ,250,122.56,0.00,0.0,BRL
217182278248963834,000012345678901234,748.467.737-00,06-01-2026,PETR4, SELL,10.0,"10,35","0,00","3,25",BRL
564170805310033092,000045600000000001,96218518824,06-01-2026,USD/BRL,BUY,25,28.10,10.0,"0,00",USD
224118244935348740,000000000987654321,84210205368,2026-01-06,VALE3,buy,100,10.35,"0,00","1,10",BRL
383276483503056413,000000000987654321,595.327.877-25 ,03/01/2026,VALE3,Compra,10.0,28.10,"10,00",3.25,BRL
332260256342160733,123456789012345678,60.494.519/8327-61,04/01/2026,VALE3,BUY ,"1,000",351.2,"2,75",0.00,BRL
530980500978820812,000045600000000001,cpf 10470952118,05-01-2026,ITUB4,buy,1.000,28.10,1.50,"0,38",BRL
204332181960013389,000045600000000001,,2026-01-03,BOVA11,Compra,100,"28,10",2.75,1.10,BRL
