trade_id;account_id;client_document;date;ticker;side;quantity;broker_fee;tax;currency;price;source_file;invalid_reason
T1000039;A0003;059.050.572-65;2026/02/05;ITUB4;venda;5,00;-7.50;1,10;BRL;;transactions_20260210.csv;invalid_costs
T1000071;A0202;CNPJ 74.367.136/9594-86;2026-02-06;ABEV3;B;1000,0;1.50;;BRL;;transactions_20260210.csv;invalid_number
T1000051;A0280;CPF: 028.490.083-46;07/02/2026;BBAS3;Venda;-1.000;0.38;0;BRL;;transactions_20260210.csv;invalid_quantity
T1000076;A0029;CNPJ 74.367.136/9594-86;2026-02-07;BOVA11;SELL;5,00;0,00;-1;BRL;;transactions_20260210.csv;invalid_costs
T1000015;A0185;732.314.031-54;2026-02-04;VALE3;Compra;-1,000;0,0;0,38;BRL;;transactions_20260210.csv;invalid_quantity
T1000000;A0190;13.249.282/3123-46;99/99/9999;VALE3;BUY;5;10.0;0.00;BRL;;transactions_20260210.csv;invalid_date
T1000078;A0017;10949648833;2026/02/04;PETR4;;1,000;10.0;0,38;BRL;;transactions_20260210.csv;invalid_side
T1000061;A0065;CNPJ 77.713.268/3957-95;;PETR4;VENDA;25,0;0;1,10;BRL;;transactions_20260210.csv;invalid_date
T1000037;A0298;27061678909;05-02-2026;ITUB4;;1000,0;0,00;0;BRL;;transactions_20260210.csv;invalid_side
T1000001;A0198;cpf 24834518370;06/02/2026;BOVA11;;1;1.50;0,00;BRL;;transactions_20260210.csv;invalid_side
T1000139;A0065;CNPJ 74.367.136/9594-86;03/02/2026;BOVA11;SELL;250.00;-3,25;3,25;BRL;;transactions_20260211.csv;invalid_costs
T1000114;A0129;10459650815;2026-02-04;PETR4;;1500,0;0;1.10;BRL;;transactions_20260211.csv;invalid_side
T1000138;A0286;51975192826;2026-02-06;ITUB4;SELL;1.500,00;10;-1;BRL;;transactions_20260211.csv;invalid_costs
T1000144;A0157;79465398357;03-02-2026;PETR4;S;100,00;2.75;-0,10;BRL;;transactions_20260211.csv;invalid_costs
